global_id,PERIOD,WORK_NAME,NUM_ENTRANCE,ElevatorNumber,PLAN_DATE_START,PLAN_DATE_END,FACT_DATE_START,FACT_DATE_END,AdmArea,District,Address,UNOM
347421,2022,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),,,11.03.2022,10.07.2022,03.02.2022,22.04.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
347423,2022,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме",,,21.05.2022,30.09.2022,14.03.2022,26.04.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
347425,2022,ремонт фасадов,,,01.04.2022,31.08.2022,23.04.2022,07.10.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
347422,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),,,11.03.2022,10.07.2022,03.02.2022,22.04.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
430985,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (стояки),,,21.04.2022,20.08.2022,21.04.2022,15.11.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
430991,2022,ремонт пожарного водопровода,,,11.03.2022,20.06.2022,21.02.2022,04.05.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
430983,2022,ремонт внутридомовых инженерных систем водоотведения (канализации) (выпуски и сборные трубопроводы),,,11.03.2022,10.07.2022,27.01.2022,22.04.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
430986,2022,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),,,21.04.2022,10.07.2022,01.04.2022,22.06.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
430987,2022,ремонт внутридомовых инженерных систем теплоснабжения (стояки),,,21.04.2022,20.08.2022,06.06.2022,15.11.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
430988,2022,ремонт внутридомовых инженерных систем холодного водоснабжения (стояки),,,21.04.2022,20.08.2022,21.04.2022,15.11.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
430989,2022,ремонт мусоропровода,,,11.03.2022,10.07.2022,01.03.2022,18.04.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
430990,2022,ремонт крыши,,,11.05.2022,31.08.2022,23.05.2022,03.10.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
347440,2022,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),,,21.02.2022,20.06.2022,18.02.2022,18.05.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
347441,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),,,21.02.2022,20.06.2022,18.02.2022,18.05.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
347442,2022,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),,,21.04.2022,10.07.2022,06.05.2022,05.08.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
347444,2022,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме",,,21.05.2022,30.09.2022,28.03.2022,03.08.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
347445,2022,"ремонт подъездов, направленный на восстановление их надлежащего состояния и проводимый при выполнении иных работ по капитальному ремонту общего имущества в многоквартирном доме",,,21.05.2022,31.10.2022,21.05.2022,21.11.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
347446,2022,ремонт фасадов,,,01.04.2022,31.08.2022,29.04.2022,16.11.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
